<X>,<Y>
49.67386243,24.24073258
49.56969491,24.41192809
49.42768578,24.63644019
49.25643356,24.89213162
49.1774499,25.00425767
49.09697137,25.11472156
48.9711584,25.27974331
48.80741384,25.48076952
48.67041218,25.63778252
48.54544834,25.77285781
48.3611476,25.95908426
48.14598201,26.15873689
48.0708734,26.22437355
47.99498814,26.2887955
47.88967804,26.37514855
47.76267345,26.47476187
47.59634422,26.59810345
47.47053639,26.68631473
47.47053639,26.68631473
47.3577108,26.76189514
47.24362865,26.83511473
47.07941824,26.93520391
46.86945104,27.05472023
46.81410101,27.08473997
46.53411514,27.22775876
46.10932558,27.41902493
45.8660784,27.51596547
45.62016192,27.60544448
45.33534142,27.69904922
44.92591286,27.81603226
44.62887149,27.88875148
44.32972481,27.9522362
43.98365603,28.01402339
43.77493584,28.04546229
43.41025875,28.09022214
42.93935634,28.12947266
42.68330152,28.14226891
42.42699747,28.14915541
42.17904117,28.15023511
41.71311626,28.13753538
41.3693904,28.11589189
41.02645898,28.0838998
40.67082426,28.03968268
40.58371165,28.02712481
40.23285824,27.96959469
39.87775478,27.89987473
39.55827133,27.8270626
39.27154312,27.75339132
39.02119608,27.6824737
38.68897481,27.57860752
38.28673212,27.43742563
38.02507896,27.33615248
37.76609256,27.22828137
37.52366222,27.12016697
37.14130035,26.93493978
36.83669685,26.77377648
36.53744339,26.60292641
36.24222304,26.42142047
36.12481235,26.34545694
35.84358328,26.154244
35.52090598,25.91766404
35.46813149,25.87711004
35.46813149,25.87711004
35.36956376,25.79991142
35.2719006,25.72157535
35.13447679,25.60832255
34.96611337,25.46497731
34.85789576,25.37033881
34.79402648,25.31403271
34.73005702,25.25781978
34.65566062,25.19265105
34.56784148,25.11597838
34.46154475,25.02348784
34.32887052,24.90843409
34.15669153,24.75957969
33.92451739,24.55927821
33.82237572,24.47118402
33.72007623,24.38286943
33.64235041,24.31565195
33.56930104,24.25219664
33.49640283,24.18841877
33.39851088,24.1020181
33.28318933,23.99904908
33.1374298,23.86692915
32.94766672,23.69133166
32.69351319,23.44911556
32.44240003,23.20098805
32.37726437,23.13520694
32.3122552,23.06914435
32.21981624,22.97446529
32.11244591,22.86333299
31.97647227,22.72067979
31.79899871,22.53100956
31.55205966,22.25990821
31.3071809,21.98192941
31.22257308,21.8835474
31.13854569,21.78451844
31.01295082,21.63395492
30.86015572,21.44648583
30.65416216,21.18583128
30.44750491,20.91456689
30.32312009,20.74629092
30.25951735,20.65874696
30.18454333,20.55429006
30.11013793,20.44931424
30.00372774,20.29687648
29.87381872,20.10701995
29.69927447,19.84526169
29.47071192,19.49055502
29.31571842,19.24206845
29.23782421,19.11466341
29.16066204,18.98671512
29.04663648,18.79442917
28.9466322,18.62256651
28.84791246,18.4498279
28.69852241,18.18229428
28.50417495,17.82245869
