time,yRef,xRef
4.842057185,-4.163885239,38.2704166
4.880505297,-3.906331906,38.28309616
4.918026657,-3.654986628,38.2954701
4.958285086,-3.38530648,38.30874667
5,-3.10093906,38.30815063
5.04372623,-2.769166871,38.20944503
5.085457276,-2.452533118,38.11524328
5.123564924,-2.163391842,38.02922082
5.160650986,-1.882001842,37.94550444
5.2,-1.583441725,37.85667977
5.243373659,-1.263907204,37.73629002
5.287136492,-0.9509653426,37.59258174
5.326887695,-0.6667100812,37.46204685
5.363234398,-0.4067999192,37.34269164
5.4,-0.1438942692,37.22196085
5.441849928,0.1553686802,37.08453416
5.487242982,0.465278449,36.90093965
5.529725657,0.7529613641,36.72357548
5.566600976,1.002672558,36.56962188
5.6,1.228843079,36.43018173
5.63950147,1.496337965,36.26526401
5.686697706,1.814763152,36.06545415
5.733329951,2.12563886,35.85922967
5.771522045,2.380247963,35.69033056
5.8,2.570097379,35.56439085
5.836433409,2.81298214,35.40326927
5.884876071,3.135927068,35.18903848
5.896325997,3.212258451,35.13840281
5.896325997,3.212258451,35.13840281
5.918358742,3.359140619,35.04096612
5.940391487,3.506022786,34.94352944
5.982248937,3.785067136,34.75842081
6,3.903405298,34.67991926
6.057121842,4.284210318,34.42730603
6.097159901,4.551125624,34.2502434
6.13719796,4.818040931,34.07318077
6.181056283,5.110424177,33.87922357
6.2,5.236713217,33.79544767
6.241307487,5.512091218,33.61277117
6.279127844,5.764222125,33.44551602
6.304684151,5.934594251,33.33249688
6.304684151,5.934594251,33.33249688
6.304684151,5.934594251,33.33249688
6.34196117,6.183102978,33.16764456
6.379238189,6.431407302,33.00267864
6.4,6.569629476,32.91075842
6.462607088,6.986437432,32.63357365
6.502902385,7.254704192,32.45517144
6.543197683,7.522970952,32.27676923
6.588696259,7.816464684,32.07009843
6.6,7.870855051,32.00845725
6.645530081,8.089932777,31.76017413
6.692026442,8.31365997,31.50662173
6.732051118,8.506247263,31.28836051
6.766653471,8.672743887,31.09966811
6.8,8.83319785,30.91782393
6.843243839,8.946392743,30.63364007
6.894654584,9.044260708,30.27707519
6.929529684,9.110650627,30.0351951
6.964404784,9.177040545,29.793315
7,9.24480131,29.54644046
7.051437332,9.299186542,29.18038325
7.0924106,9.247932794,28.86857295
7.133383868,9.196679045,28.55676266
7.176388703,9.142883996,28.22949195
7.2,9.113348459,28.04980784
7.242993909,9.059567076,27.72262028
7.298754496,8.929382776,27.31399238
7.332835855,8.826344476,27.07033827
7.366917214,8.723306176,26.82668416
