yRef,xRef
-6.811750796,28.17993018
-6.77430218,28.3414152
-6.724725825,28.55519717
-6.659406265,28.83686661
-6.643629837,28.90489735
-6.627853409,28.97292808
-6.605565535,29.06903732
-6.580190011,29.17846104
-6.549058573,29.31270528
-6.510050687,29.48091416
-6.458858147,29.7016654
-6.388822022,30.0036735
-6.335805546,30.28105835
-6.287230161,30.68425395
-6.252766825,30.97031376
-6.21830349,31.25637357
-6.178729908,31.58485052
-6.152871637,31.79948476
-6.112411198,32.13532298
-6.058031583,32.56241957
-6.042854137,32.66622947
-6.042854137,32.66622947
-6.025723586,32.78339811
-6.008593034,32.90056675
-5.984413619,33.06594784
-5.953688405,33.27610054
-5.912239563,33.55960014
-5.860231716,33.91532067
-5.821495964,34.18026343
-5.782760212,34.44520618
-5.726787695,34.69307618
-5.698139426,34.76841571
-5.669491156,34.84375524
-5.625683112,34.95896212
-5.572694222,35.09831288
-5.499990985,35.28950865
-5.396816827,35.56083719
-5.31569124,35.77418214
-5.295548188,35.82715456
-5.275405136,35.88012698
-5.248129701,35.95185622
-5.216817492,36.03420141
-5.178500654,36.13496745
-5.118226302,36.24706815
-5.000362617,36.34877401
-4.840531264,36.48669422
-4.693310866,36.6137323
-4.507325822,36.77422081
-4.330468645,36.92683279
-4.187876614,37.049877
-4.060434757,37.15984796
-3.890791535,37.23716792
-3.640668596,37.27720464
-3.373453986,37.3199772
-3.145446802,37.35647389
-2.957837301,37.3865042
-2.788213143,37.41365563
-2.554845972,37.45101029
-2.246621778,37.46312293
-2.018224482,37.40991611
-1.789827187,37.35670928
-1.567242644,37.30485658
-1.227100236,37.22561791
-0.9634501648,37.16419869
-0.6998000938,37.10277947
-0.4227357412,37.03823529
-0.2545536998,36.9618177
0.03821308008,36.81659203
0.4220894978,36.62617182
0.6613687432,36.50747841
0.9006479886,36.38878499
1.157116938,36.2615647
1.521393633,36.08086685
1.792358982,35.93894594
2.057101311,35.78239567
2.348559987,35.61004721
2.541089761,35.49619844
2.832818124,35.3236905
3.210775423,35.10019275
3.436373368,34.96678975
3.661971313,34.83338676
3.897184802,34.67646225
4.237173992,34.43280861
4.485985169,34.25449779
4.734796346,34.07618697
5.010524118,33.87858635
5.174657033,33.7609603
5.451544505,33.56252858
5.784158033,33.28559539
5.950400289,33.11312023
6.116642545,32.94064506
6.293409398,32.7572507
6.572467153,32.46773025
6.775923574,32.25664566
6.979379995,32.04556106
7.196573287,31.81363263
7.265215043,31.68565234
7.401170716,31.43216748
7.574184711,31.10958861
7.677988012,30.91605078
7.781791314,30.72251295
7.890382087,30.52004905
8.059417659,30.20488781
8.142403713,29.95967447
8.181675289,29.70452816
8.223985433,29.42964036
8.245020642,29.29297521
8.287270682,29.01847791
8.340759458,28.67096286
8.373461484,28.45849873
8.40616351,28.2460346
8.381911684,28.01642393
8.318156856,27.64901584
8.269596217,27.36916923
8.221035578,27.08932263
8.169622971,26.79304062
8.145685213,26.65509144
8.094526232,26.36027104
8.01346879,25.99395499
7.948401879,25.75853941
7.883334969,25.52312382
7.818300156,25.28782437
7.717725829,24.92394105
7.714498497,24.91226439
7.714498497,24.91226439
7.683294411,24.79936633
7.652090325,24.68646826
7.606282332,24.52073248
7.548929241,24.31322591
7.496720129,24.12433054
7.486148758,24.01875973
7.479894894,23.9447237
7.468611606,23.81114711
7.455518853,23.65614926
7.437527423,23.4431587
7.413106726,23.1540556
7.39593675,22.95078977
7.380166315,22.76409233
7.373460308,22.68470364
7.369971023,22.64339592
7.369971023,22.64339592
7.363265017,22.56400723
7.354948005,22.46554674
7.346922911,22.34669543
7.390954864,22.22050319
7.449715397,22.05209996
7.525974326,21.83354765
7.566078432,21.71861233
7.625340476,21.54877181
7.699029111,21.33758577
7.770246002,21.13348356
7.827709015,20.96879892
7.912173059,20.83834321
7.977515926,20.77346279
8.153841551,20.59838506
8.239997813,20.51283855
8.239997813,20.51283855
8.293463605,20.45975114
8.346929397,20.40666374
8.422714674,20.33141481
8.514545902,20.2402335
8.636537962,20.1191048
8.778520434,19.97812717
8.842106519,19.9149911
8.905692603,19.85185503
9.002715796,19.75551849
9.159260935,19.63680801
9.303399122,19.5419759
9.431447556,19.45772964
9.614957577,19.33699381
9.822092794,19.20071438
9.892811618,19.1541867
9.963530442,19.10765902
10.0605105,19.04385343
10.17577594,18.96801741
10.32413324,18.87040944
10.43453864,18.79777097
10.43453864,18.79777097
10.53232622,18.73343408
10.63011381,18.66909719
10.76910763,18.57764968
10.95053696,18.45561355
10.99816771,18.42346058
11.23632151,18.26269568
11.58996215,18.02397179
11.78897806,17.88962679
11.98799397,17.75528179
12.21610444,17.60129661
12.54020939,17.38251068
12.72963714,17.2010805
12.89863571,17.00820993
13.09289889,16.78650596
13.20952657,16.65340397
13.41252384,16.42173217
13.67356692,16.12381528
13.81516898,15.96221113
13.94716321,15.79571075
14.0204592,15.60700787
14.15823148,15.25230867
14.26002256,14.99024425
14.36181363,14.72817983
14.46772643,14.45550391
14.49373654,14.38854004
