<X>,<Y>
29.07681058,-9.762183872
29.16561436,-9.718116756
29.29771339,-9.652177266
29.45354723,-9.574011385
29.65843098,-9.471086386
29.93367469,-9.333588608
30.10590495,-9.24859874
30.22591725,-9.190002302
30.34601868,-9.131773666
30.43052025,-9.090988503
30.54516698,-9.035754817
30.65977501,-8.9805229
30.8184557,-8.90387265
31.01646787,-8.807650199
31.2852491,-8.67539895
31.64393966,-8.49461464
31.86642873,-8.379297916
31.98665774,-8.315878243
32.10656392,-8.251846351
32.27054615,-8.163078522
32.47781129,-8.0490281
32.76020946,-7.890598763
33.12567438,-7.680982237
33.26563011,-7.599496232
33.339412,-7.556467189
33.41326423,-7.513589704
33.51662525,-7.45393
33.63677449,-7.385137399
33.78803081,-7.299464386
33.98458013,-7.189835003
34.26152371,-7.038944861
34.58059348,-6.870737227
34.66723468,-6.826151644
34.73946131,-6.789450435
34.81194678,-6.753141697
34.91372535,-6.702998728
35.03122403,-6.646254235
35.17751041,-6.577188814
35.36417316,-6.491374105
35.61451834,-6.379884656
35.96197113,-6.230968865
36.13903957,-6.157300745
36.45651235,-6.028396729
36.74793919,-5.91315842
36.74793919,-5.91315842
36.74793919,-5.91315842
36.8660731,-5.86716668
36.98442127,-5.821400619
37.15450903,-5.755961006
37.36516281,-5.675039045
37.66742074,-5.558038612
37.75496907,-5.523821855
37.84248574,-5.489528854
37.96745258,-5.440321309
38.11382027,-5.382172987
38.30125542,-5.30658579
38.54736261,-5.204798045
38.82725592,-5.0848323
39.05216268,-4.984701977
39.17981401,-4.926226832
39.28537516,-4.876960487
39.39051695,-4.827084772
39.54517417,-4.7521713
39.73213879,-4.65897209
39.98425605,-4.528323333
40.1418222,-4.443523501
40.29803829,-4.356812439
40.51132249,-4.233754758
40.61016259,-4.174750699
40.7119779,-4.112619874
40.8131054,-4.049530803
40.96317022,-3.953240086
41.14427881,-3.83250674
41.38883836,-3.661006323
41.55608395,-3.537711013
41.59105514,-3.511279773
41.59105514,-3.511279773
41.6986037,-3.428532333
41.8026697,-3.346373488
41.91803569,-3.25291336
42.08971282,-3.10925634
42.30543503,-2.921093293
42.59193785,-2.658258976
42.84469803,-2.414339921
43.09536121,-2.161449739
43.32916532,-1.915771088
43.53911265,-1.687111475
43.74059912,-1.460469723
43.95312305,-1.213691112
44.16939708,-0.95427682
44.39183606,-0.6785300168
44.60007139,-0.411901563
44.78676274,-0.165601556
44.96525734,0.0765835748
45.15117024,0.3361399938
45.35190287,0.6252414167
45.54990427,0.9200298024
45.72573394,1.190418924
45.88308622,1.439788812
46.03886104,1.6940727
46.21193433,1.985975967
46.39442209,2.305496661
46.5601345,2.607222811
46.69988681,2.871200199
46.8231032,3.11193367
46.96460608,3.398637599
47.12750187,3.743964728
47.28164912,4.088072623
47.40270753,4.372004862
47.48985499,4.584927538
47.5973707,4.858804765
47.73323589,5.225453706
47.76414128,5.312521147
47.76414128,5.312521147
47.82229168,5.480488115
47.87868695,5.649004712
47.98090116,5.970622464
48.02226607,6.107581488
48.14716588,6.550492449
48.22706734,6.862825893
48.30049597,7.176606414
48.3733221,7.521865462
48.40226885,7.671455945
